Component,Availability,Size,Nodes,vCPU,RAM (GB),Disk (GB),Location,Required,Fleet DR,Design_IDs,Funnel_CFG_IDs,Doc_Ref,Considerations,Source_URL,Notes
Management Domain AVI Load Balancer,HA,Small,3,18,96,1536,AVI Management Domain,No,No,DES-AVI-VALIDATE; DES-PNP; DES-OPTIONAL-DAYN,VCF-AVI-REQD-CFG-001;VCF-AUTO-REQD-CFG-006,DES-AVI-VALIDATE,DES-AVI-VALIDATE: Avi controller sizing: use P&P / Avi docs; cluster is typically 3 controllers when enabled. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Management Domain AVI Load Balancer,HA,Large,3,48,144,4200,AVI Management Domain,No,No,DES-AVI-VALIDATE; DES-PNP; DES-OPTIONAL-DAYN,VCF-AVI-REQD-CFG-001;VCF-AUTO-REQD-CFG-006,DES-AVI-VALIDATE,DES-AVI-VALIDATE: Avi controller sizing: use P&P / Avi docs; cluster is typically 3 controllers when enabled. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Management Domain AVI Load Balancer,HA,X-Large,3,48,192,5250,AVI Management Domain,No,No,DES-AVI-VALIDATE; DES-PNP; DES-OPTIONAL-DAYN,VCF-AVI-REQD-CFG-001;VCF-AUTO-REQD-CFG-006,DES-AVI-VALIDATE,DES-AVI-VALIDATE: Avi controller sizing: use P&P / Avi docs; cluster is typically 3 controllers when enabled. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Workload Domain AVI Load Balancer,HA,Small,3,18,96,1536,AVI Workload Domain,No,No,DES-AVI-VALIDATE; DES-PNP; DES-OPTIONAL-DAYN,VCF-AVI-REQD-CFG-001,DES-AVI-VALIDATE,DES-AVI-VALIDATE: Avi controller sizing: use P&P / Avi docs; cluster is typically 3 controllers when enabled. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Workload Domain AVI Load Balancer,HA,Large,3,48,144,4200,AVI Workload Domain,No,No,DES-AVI-VALIDATE; DES-PNP; DES-OPTIONAL-DAYN,VCF-AVI-REQD-CFG-001,DES-AVI-VALIDATE,DES-AVI-VALIDATE: Avi controller sizing: use P&P / Avi docs; cluster is typically 3 controllers when enabled. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Workload Domain AVI Load Balancer,HA,X-Large,3,48,192,5250,AVI Workload Domain,No,No,DES-AVI-VALIDATE; DES-PNP; DES-OPTIONAL-DAYN,VCF-AVI-REQD-CFG-001,DES-AVI-VALIDATE,DES-AVI-VALIDATE: Avi controller sizing: use P&P / Avi docs; cluster is typically 3 controllers when enabled. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
vDefend and AVI Licensing Hub,HA,Base,3,10,30,710,Base with SSP in Management Domain,No,No,DES-AVI-VALIDATE; DES-PNP; DES-OPTIONAL-DAYN,,DES-AVI-VALIDATE,DES-AVI-VALIDATE: Avi controller sizing: use P&P / Avi docs; cluster is typically 3 controllers when enabled. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Management Domain Security Services Platform,HA,Medium,9,122,444,4806,Security Serices Platform Management Domain,No,No,DES-SSP-VALIDATE; DES-OPTIONAL-DAYN; DES-PNP,,DES-SSP-VALIDATE,DES-SSP-VALIDATE: SSP node counts/sizes change by release — validate against current Broadcom SSP sizing before SoW. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Management Domain Security Services Platform,HA,Large,12,170,636,5830,Security Serices Platform Management Domain,No,No,DES-SSP-VALIDATE; DES-OPTIONAL-DAYN; DES-PNP,,DES-SSP-VALIDATE,DES-SSP-VALIDATE: SSP node counts/sizes change by release — validate against current Broadcom SSP sizing before SoW. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Management Domain Security Services Platform,HA,X-Large,14,202,764,7366,Security Serices Platform Management Domain,No,No,DES-SSP-VALIDATE; DES-OPTIONAL-DAYN; DES-PNP,,DES-SSP-VALIDATE,DES-SSP-VALIDATE: SSP node counts/sizes change by release — validate against current Broadcom SSP sizing before SoW. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
