ID,Bucket,Title,Decision Type,Trigger Criteria,Requirement,Justification,Parent Decision IDs,Baseline Bundle ID,Rule Classification,Mapping Status,Mapping Rationale,Source Version,Source URL,Source Match
VCF-PAI-REQD-CFG-001,AI,GPU Host Profiling,Required,"hldIncAI=true; hldAiDataProfile IN [GPU_DENSE,CUSTOM]",Ensure all hosts in the AI workload domain have identical NVIDIA GPU hardware and profiles.,Guarantees DRS load balancing and vMotion compatibility for AI/ML workloads.,DEC-AI-001; DEC-AI-002; DEC-NET-004,BL-SOL-001,DECISION_LED,MAPPED,GPU host profiling when AI is in scope and profile is GPU_DENSE or CUSTOM.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/private-ai-platform-detailed-design.html,prefix:VCF-PAI-
VCF-PAI-REQD-CFG-002,AI,Backend AI Network,Required,hldIncAI=true,"Allocate a dedicated high-throughput, low-latency VLAN (RoCEv2) for GPU-to-GPU communications.",Prevents deep learning network traffic from bottlenecking standard VM traffic.,DEC-AI-001; DEC-AI-002; DEC-NET-004,BL-SOL-001,DECISION_LED,MAPPED,Backend AI network whenever Private AI is in scope.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/private-ai-platform-detailed-design.html,prefix:VCF-PAI-
VCF-PAI-REQD-CFG-003,AI,NVIDIA Licensing System,Required,hldIncAI=true,Deploy the NVIDIA License System (NLS) appliance in the management domain.,Centralizes vGPU license distribution for tenant workload clusters.,DEC-AI-001; DEC-AI-002,BL-SOL-001,DECISION_LED,MAPPED,NVIDIA licensing required whenever Private AI is in scope.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/private-ai-platform-detailed-design.html,prefix:VCF-PAI-
VCF-PAI-REQD-CFG-004,AI,AI Workload Orchestration Model,Required,"hldIncAI=true; hldAiDataProfile IN [GENERAL,DATA_LOCAL]","Determine whether AI/ML workloads will be scheduled via an MLOps orchestration platform (e.g., Run:ai, NVIDIA AI Enterprise tooling) or managed directly through vCenter/vGPU assignment.",Orchestration model determines whether GPU capacity is exposed as an aggregate pool or requires explicit per-VM MIG/vGPU partition design; getting this wrong means re-architecting GPU allocation later.,DEC-AI-001; DEC-AI-002,BL-SOL-001,DECISION_LED,MAPPED,Orchestration model emphasis for GENERAL/DATA_LOCAL AI profiles.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/private-ai-platform-detailed-design.html,prefix:VCF-PAI-
VCF-AUTO-REQD-CFG-001,AUTO,VCF Automation Placement,Required,ALWAYS,Deploy VCF Automation in the management domain or a dedicated management cluster.,Secures the automation and orchestration engine within the primary administrative boundary.,DEC-AUTO-001; DEC-AUTO-002,BL-SOL-001,INHERIT_PARENT_SCOPE,MAPPED,"Required after parent decision DEC-AUTO-001, DEC-AUTO-002 activates this domain or solution.",VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vcf-automation-deployment-models-9-x.html,prefix:VCF-AUTO-
VCF-AUTO-REQD-CFG-002,AUTO,VCF Automation HA,Required,availabilityModel=HA,Deploy a cluster of three VCF Automation appliances for high availability.,Guarantees continuous self-service and orchestration during host or node failures.,DEC-AUTO-001; DEC-AUTO-002,BL-SOL-001,INHERIT_PARENT_SCOPE,MAPPED,"Required after parent decision DEC-AUTO-001, DEC-AUTO-002 activates this domain or solution.",VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vcf-automation-deployment-models-9-x.html,prefix:VCF-AUTO-
VCF-AUTO-REQD-CFG-004,AUTO,Identity Broker Integration,Required,"hldIdentityMode IN [APPLIANCE,THREE_NODE_HA]",Integrate VCF Automation with Identity Broker.,Standardizes Role-Based Access Control (RBAC) and single sign-on across the VCF portal.,DEC-AUTO-001; DEC-ID-001; DEC-AUTO-002,BL-SOL-001,DECISION_LED,MAPPED,Identity Broker appliance/HA topology when identity mode is APPLIANCE or THREE_NODE_HA.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vcf-automation-deployment-models-9-x.html,prefix:VCF-AUTO-
VCF-AUTO-REQD-CFG-005,AUTO,NSX Cloud Accounts,Required,ALWAYS,Configure NSX cloud accounts within VCF Automation to enable on-demand network provisioning.,Allows developers to dynamically spin up load balancers and networks via self-service blueprints.,DEC-AUTO-001; DEC-AUTO-002,BL-SOL-001,INHERIT_PARENT_SCOPE,MAPPED,"Required after parent decision DEC-AUTO-001, DEC-AUTO-002 activates this domain or solution.",VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vcf-automation-deployment-models-9-x.html,prefix:VCF-AUTO-
VCF-AUTO-REQD-CFG-006,AUTO,VCF Auto Load Balancer,Required,ALWAYS,Deploy an Avi or equivalent to front the VCF Automation cluster.,Ensures highly available access to the self-service portal for developers and users.,DEC-AUTO-001; DEC-NET-004; DEC-AUTO-002,BL-SOL-001,INHERIT_PARENT_SCOPE,MAPPED,"Required after parent decision DEC-AUTO-001, DEC-NET-004, DEC-AUTO-002 activates this domain or solution.",VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vcf-automation-deployment-models-9-x.html,prefix:VCF-AUTO-
VCF-AUTO-REQD-CFG-007,AUTO,Automation Extensibility,Required,"hldPlacementGovernance IN [TAG_BASED,PROJECT_REGULATORY,CUSTOM]",Deploy VCF Automation Orchestrator nodes independently if complex scripting exceeds built-in capabilities.,Offloads heavy API interaction and customized workflows from the core Automation appliances.,DEC-AUTO-001; DEC-AUTO-002,BL-SOL-001,DECISION_LED,MAPPED,"Automation extensibility / custom placement when governance is tag-, project-, or custom-based.",VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vcf-automation-deployment-models-9-x.html,prefix:VCF-AUTO-
